,model,algo,params,median_abs_error,mean_squared_error,mean_abs_error
19,19.0,PyFluxARIMA,"{'ar': 49, 'ma': 45, 'family': 'Normal'}",648431.3541270606,744237543779.0159,686537.2461641355
17,17.0,PyFluxARIMA,"{'ar': 13, 'ma': 10, 'family': 'Cauchy'}",783394.3806061409,884123819193.7343,797882.9790495813
20,20.0,PyFluxARIMA,"{'ar': 10, 'ma': 6, 'family': 'Cauchy'}",711323.9259826168,1007863493397.8784,813690.21499925
18,18.0,PyFluxARIMA,"{'ar': 13, 'ma': 8, 'family': 'Cauchy'}",726374.6684278622,1028606674932.8208,828831.3958994782
30,30.0,Regression,"{'degree': 2, 'mode': 'lasso'}",420475.52360194176,2110693393343.2346,1013220.1236019605
22,22.0,Regression,"{'degree': 2, 'mode': 'linear'}",420475.7857605666,2110702150659.6433,1013222.6184099639
26,26.0,Regression,"{'degree': 2, 'mode': 'ridge'}",420481.4980514161,2110824761015.712,1013254.7894675207
34,34.0,Regression,"{'degree': 2, 'mode': 'bayesian_ridge'}",405688.5892221965,2170082140264.374,1028654.2498472047
16,16.0,PyFluxARIMA,"{'ar': 39, 'ma': 17, 'family': 'Normal'}",630790.9549960308,2279109078579.9336,1046409.1199002512
15,15.0,PyFluxARIMA,"{'ar': 12, 'ma': 6, 'family': 'Cauchy'}",1215168.2179748677,1836749453213.3374,1245925.9796859315
14,14.0,fbProphet,"{'cap': 190000000, 'growth': 'logistic'}",1207421.547811713,1844532350430.6316,1264924.3628197461
13,13.0,fbProphet,"{'cap': 180000000, 'growth': 'logistic'}",1212977.8448827453,1857950583797.3713,1270367.858577508
12,12.0,fbProphet,"{'cap': 170000000, 'growth': 'logistic'}",1213384.886667855,1860768184750.5002,1271643.4164730995
11,11.0,fbProphet,"{'cap': 160000000, 'growth': 'logistic'}",1218734.3569307849,1875312121494.107,1277535.3097315487
10,10.0,fbProphet,"{'cap': 150000000, 'growth': 'logistic'}",1223518.0354685932,1888565630287.2083,1282926.0164012937
9,9.0,fbProphet,"{'cap': 140000000, 'growth': 'logistic'}",1230318.5006142184,1908381005719.297,1290868.907109084
8,8.0,fbProphet,"{'cap': 130000000, 'growth': 'logistic'}",1234272.2221514843,1918961435136.624,1295269.1531560635
7,7.0,fbProphet,"{'cap': 120000000, 'growth': 'logistic'}",1249716.0395970158,1963512894860.218,1312620.9324313446
6,6.0,fbProphet,"{'cap': 110000000, 'growth': 'logistic'}",1260634.254915692,1994445939895.7136,1324735.3143456716
0,0.0,fbProphet,{'growth': 'linear'},1265900.9780156054,2009215369717.992,1329874.287701671
5,5.0,fbProphet,"{'cap': 100000000, 'growth': 'logistic'}",1296321.3030166402,2057110238996.8416,1348474.272613151
4,4.0,fbProphet,"{'cap': 90000000, 'growth': 'logistic'}",1343361.1635132097,2141819966057.664,1379683.2942029613
35,35.0,Regression,"{'degree': 3, 'mode': 'bayesian_ridge'}",1652569.7802604735,2278577323589.7725,1418609.50527982
3,3.0,fbProphet,"{'cap': 80000000, 'growth': 'logistic'}",1397973.8424928263,2311853575994.72,1439131.9316152264
2,2.0,fbProphet,"{'cap': 70000000, 'growth': 'logistic'}",1579475.1962448992,2736818867953.4688,1573754.510204126
21,21.0,Regression,"{'degree': 1, 'mode': 'linear'}",1566544.736636974,2851012385528.5913,1616207.9490059582
29,29.0,Regression,"{'degree': 1, 'mode': 'lasso'}",1566547.6652761623,2851022044241.7617,1616210.9347893253
25,25.0,Regression,"{'degree': 1, 'mode': 'ridge'}",1566557.800845202,2851055471701.675,1616221.2681255648
33,33.0,Regression,"{'degree': 1, 'mode': 'bayesian_ridge'}",1568143.0766427927,2856286472451.5737,1617837.4761338432
1,1.0,fbProphet,"{'cap': 60000000, 'growth': 'logistic'}",2539274.7363325506,5257839376756.868,2170392.124955265
31,31.0,Regression,"{'degree': 3, 'mode': 'lasso'}",2684376.00157886,6941970534721.5205,2424005.8788592652
27,27.0,Regression,"{'degree': 3, 'mode': 'ridge'}",2684957.7938075326,6945771240246.807,2424638.373645702
23,23.0,Regression,"{'degree': 3, 'mode': 'linear'}",2685138.5192520656,6946971807262.465,2424836.7382510323
24,24.0,Regression,"{'degree': 4, 'mode': 'linear'}",2713286.8848414235,7173252310080.192,2460529.733915933
28,28.0,Regression,"{'degree': 4, 'mode': 'ridge'}",2714046.8678265437,7179652465104.504,2461522.72262995
32,32.0,Regression,"{'degree': 4, 'mode': 'lasso'}",2718948.3025198765,7220467337297.668,2467861.500096949
36,36.0,Regression,"{'degree': 4, 'mode': 'bayesian_ridge'}",3786865.8399957567,19349865494085.758,3855564.8976136697
